Glyph A,Glyph B,Name A,Name B,Group A,Group B,Marks A,Marks B,Magnitude Delta,Magnitude Result,Interaction Type,Signal A,Signal B
B,B,beith,beith,right,right,1,1,0,Resonance,Reinforce,Atomic Initiation,Atomic Initiation
B,L,beith,luis,right,right,1,2,1,Modulation,Reinforce,Atomic Initiation,Weak Coupling
B,F,beith,fearn,right,right,1,3,2,Dominance,Reinforce,Atomic Initiation,Median Assertion
B,S,beith,sail,right,right,1,4,3,Dominance,Reinforce,Atomic Initiation,Strong Enforcement
B,P,beith,peith,right,right,1,5,4,Dominance,Reinforce,Atomic Initiation,Maximal Drive
B,H,beith,huath,right,left,1,1,0,Resonance,Opposition,Atomic Initiation,Atomic Reaction
B,D,beith,duir,right,left,1,2,1,Modulation,Opposition,Atomic Initiation,Weak Resistance
B,T,beith,tinne,right,left,1,3,2,Dominance,Opposition,Atomic Initiation,Median Balance
B,C,beith,coll,right,left,1,4,3,Dominance,Opposition,Atomic Initiation,Strong Barrier
B,W,beith,ceirt,right,left,1,5,4,Dominance,Opposition,Atomic Initiation,Maximal Opposition
B,M,beith,muin,right,cross,1,1,0,Resonance,Anchor,Atomic Initiation,Atomic Bind
B,G,beith,gort,right,cross,1,2,1,Modulation,Anchor,Atomic Initiation,Loose Knot
B,N,beith,ngeadal,right,cross,1,3,2,Dominance,Anchor,Atomic Initiation,Median Lock
B,Z,beith,straif,right,cross,1,4,3,Dominance,Anchor,Atomic Initiation,Strong Anchor
B,R,beith,ruis,right,cross,1,5,4,Dominance,Anchor,Atomic Initiation,Maximal Fusion
B,A,beith,ailm,right,diagonal,1,1,0,Resonance,Propel,Atomic Initiation,Atomic Flow
B,O,beith,onn,right,diagonal,1,2,1,Modulation,Propel,Atomic Initiation,Weak Current
B,U,beith,ur,right,diagonal,1,3,2,Dominance,Propel,Atomic Initiation,Median Stream
B,E,beith,eadhadh,right,diagonal,1,4,3,Dominance,Propel,Atomic Initiation,Strong Torrent
B,I,beith,idad,right,diagonal,1,5,4,Dominance,Propel,Atomic Initiation,Maximal Jet
B,AE,beith,ae,right,backslash,1,1,0,Resonance,Distort,Atomic Initiation,Atomic Twist
B,OI,beith,oi,right,backslash,1,2,1,Modulation,Distort,Atomic Initiation,Weak Vortex
B,UI,beith,ui,right,backslash,1,3,2,Dominance,Distort,Atomic Initiation,Median Shift
B,EA,beith,ea,right,backslash,1,4,3,Dominance,Distort,Atomic Initiation,Strong Warp
B,IO,beith,io,right,backslash,1,5,4,Dominance,Distort,Atomic Initiation,Maximal Chaos
L,B,luis,beith,right,right,2,1,1,Modulation,Reinforce,Weak Coupling,Atomic Initiation
L,L,luis,luis,right,right,2,2,0,Resonance,Reinforce,Weak Coupling,Weak Coupling
L,F,luis,fearn,right,right,2,3,1,Modulation,Reinforce,Weak Coupling,Median Assertion
L,S,luis,sail,right,right,2,4,2,Dominance,Reinforce,Weak Coupling,Strong Enforcement
L,P,luis,peith,right,right,2,5,3,Dominance,Reinforce,Weak Coupling,Maximal Drive
L,H,luis,huath,right,left,2,1,1,Modulation,Opposition,Weak Coupling,Atomic Reaction
L,D,luis,duir,right,left,2,2,0,Resonance,Opposition,Weak Coupling,Weak Resistance
L,T,luis,tinne,right,left,2,3,1,Modulation,Opposition,Weak Coupling,Median Balance
L,C,luis,coll,right,left,2,4,2,Dominance,Opposition,Weak Coupling,Strong Barrier
L,W,luis,ceirt,right,left,2,5,3,Dominance,Opposition,Weak Coupling,Maximal Opposition
L,M,luis,muin,right,cross,2,1,1,Modulation,Anchor,Weak Coupling,Atomic Bind
L,G,luis,gort,right,cross,2,2,0,Resonance,Anchor,Weak Coupling,Loose Knot
L,N,luis,ngeadal,right,cross,2,3,1,Modulation,Anchor,Weak Coupling,Median Lock
L,Z,luis,straif,right,cross,2,4,2,Dominance,Anchor,Weak Coupling,Strong Anchor
L,R,luis,ruis,right,cross,2,5,3,Dominance,Anchor,Weak Coupling,Maximal Fusion
L,A,luis,ailm,right,diagonal,2,1,1,Modulation,Propel,Weak Coupling,Atomic Flow
L,O,luis,onn,right,diagonal,2,2,0,Resonance,Propel,Weak Coupling,Weak Current
L,U,luis,ur,right,diagonal,2,3,1,Modulation,Propel,Weak Coupling,Median Stream
L,E,luis,eadhadh,right,diagonal,2,4,2,Dominance,Propel,Weak Coupling,Strong Torrent
L,I,luis,idad,right,diagonal,2,5,3,Dominance,Propel,Weak Coupling,Maximal Jet
L,AE,luis,ae,right,backslash,2,1,1,Modulation,Distort,Weak Coupling,Atomic Twist
L,OI,luis,oi,right,backslash,2,2,0,Resonance,Distort,Weak Coupling,Weak Vortex
L,UI,luis,ui,right,backslash,2,3,1,Modulation,Distort,Weak Coupling,Median Shift
L,EA,luis,ea,right,backslash,2,4,2,Dominance,Distort,Weak Coupling,Strong Warp
L,IO,luis,io,right,backslash,2,5,3,Dominance,Distort,Weak Coupling,Maximal Chaos
F,B,fearn,beith,right,right,3,1,2,Dominance,Reinforce,Median Assertion,Atomic Initiation
F,L,fearn,luis,right,right,3,2,1,Modulation,Reinforce,Median Assertion,Weak Coupling
F,F,fearn,fearn,right,right,3,3,0,Resonance,Reinforce,Median Assertion,Median Assertion
F,S,fearn,sail,right,right,3,4,1,Modulation,Reinforce,Median Assertion,Strong Enforcement
F,P,fearn,peith,right,right,3,5,2,Dominance,Reinforce,Median Assertion,Maximal Drive
F,H,fearn,huath,right,left,3,1,2,Dominance,Opposition,Median Assertion,Atomic Reaction
F,D,fearn,duir,right,left,3,2,1,Modulation,Opposition,Median Assertion,Weak Resistance
F,T,fearn,tinne,right,left,3,3,0,Resonance,Opposition,Median Assertion,Median Balance
F,C,fearn,coll,right,left,3,4,1,Modulation,Opposition,Median Assertion,Strong Barrier
F,W,fearn,ceirt,right,left,3,5,2,Dominance,Opposition,Median Assertion,Maximal Opposition
F,M,fearn,muin,right,cross,3,1,2,Dominance,Anchor,Median Assertion,Atomic Bind
F,G,fearn,gort,right,cross,3,2,1,Modulation,Anchor,Median Assertion,Loose Knot
F,N,fearn,ngeadal,right,cross,3,3,0,Resonance,Anchor,Median Assertion,Median Lock
F,Z,fearn,straif,right,cross,3,4,1,Modulation,Anchor,Median Assertion,Strong Anchor
F,R,fearn,ruis,right,cross,3,5,2,Dominance,Anchor,Median Assertion,Maximal Fusion
F,A,fearn,ailm,right,diagonal,3,1,2,Dominance,Propel,Median Assertion,Atomic Flow
F,O,fearn,onn,right,diagonal,3,2,1,Modulation,Propel,Median Assertion,Weak Current
F,U,fearn,ur,right,diagonal,3,3,0,Resonance,Propel,Median Assertion,Median Stream
F,E,fearn,eadhadh,right,diagonal,3,4,1,Modulation,Propel,Median Assertion,Strong Torrent
F,I,fearn,idad,right,diagonal,3,5,2,Dominance,Propel,Median Assertion,Maximal Jet
F,AE,fearn,ae,right,backslash,3,1,2,Dominance,Distort,Median Assertion,Atomic Twist
F,OI,fearn,oi,right,backslash,3,2,1,Modulation,Distort,Median Assertion,Weak Vortex
F,UI,fearn,ui,right,backslash,3,3,0,Resonance,Distort,Median Assertion,Median Shift
